id;symbol;date;close
12513;IBM;06.03.2017;180.47
12514;IBM;07.03.2017;180.38
12515;IBM;08.03.2017;179.45
12516;IBM;09.03.2017;177.18
12517;IBM;10.03.2017;177.83
12518;IBM;13.03.2017;176.46
12519;IBM;14.03.2017;175.72
12520;IBM;15.03.2017;175.81
12521;IBM;16.03.2017;177.24
12522;IBM;17.03.2017;175.65
12523;IBM;20.03.2017;175.7
12524;IBM;21.03.2017;173.88
12525;IBM;22.03.2017;174.78
12526;IBM;23.03.2017;174.82
12527;IBM;24.03.2017;173.83
12528;IBM;27.03.2017;173.77
12529;IBM;28.03.2017;174.51
12530;IBM;29.03.2017;173.94
12531;IBM;30.03.2017;173.86
12532;IBM;31.03.2017;174.14
12533;IBM;03.04.2017;174.5
12534;IBM;04.04.2017;174.52
12535;IBM;05.04.2017;172.88
12536;IBM;06.04.2017;172.45
12537;IBM;07.04.2017;172.14
12538;IBM;10.04.2017;171.2
12539;IBM;11.04.2017;170.58
12540;IBM;12.04.2017;170.66
12541;IBM;13.04.2017;169.53
12542;IBM;17.04.2017;171.1
12543;IBM;18.04.2017;170.05
12544;IBM;19.04.2017;161.69
12545;IBM;20.04.2017;162.3
12546;IBM;21.04.2017;160.38
12547;IBM;24.04.2017;160.75
12548;IBM;25.04.2017;160.39
12549;IBM;26.04.2017;160.06
12550;IBM;27.04.2017;160.32
12551;IBM;28.04.2017;160.29
12552;IBM;01.05.2017;158.84
12553;IBM;02.05.2017;159.1
12554;IBM;03.05.2017;158.63
12555;IBM;04.05.2017;159.05
12556;IBM;05.05.2017;155.05
12557;IBM;08.05.2017;153.03
12558;IBM;09.05.2017;152.11
12559;IBM;10.05.2017;151.25
12560;IBM;11.05.2017;150.65
12561;IBM;12.05.2017;150.37
12562;IBM;15.05.2017;151.51
12563;IBM;16.05.2017;153.68
12564;IBM;17.05.2017;150.93
12565;IBM;18.05.2017;150.78
12566;IBM;19.05.2017;151.98
12567;IBM;22.05.2017;152.64
12568;IBM;23.05.2017;152.03
12569;IBM;24.05.2017;152.51
12570;IBM;25.05.2017;153.2
12571;IBM;26.05.2017;152.49
12572;IBM;30.05.2017;151.73
12573;IBM;31.05.2017;152.63
12574;IBM;01.06.2017;152.67
12575;IBM;02.06.2017;152.05
12576;IBM;05.06.2017;152.41
12577;IBM;06.06.2017;152.37
12578;IBM;07.06.2017;150.98
12579;IBM;08.06.2017;152.1
12580;IBM;09.06.2017;154.1
12581;IBM;12.06.2017;155.18
12582;IBM;13.06.2017;154.25
12583;IBM;14.06.2017;153.81
12584;IBM;15.06.2017;154.22
12585;IBM;16.06.2017;155.38
12586;IBM;19.06.2017;154.84
12587;IBM;20.06.2017;154.95
12588;IBM;21.06.2017;153.79
12589;IBM;22.06.2017;154.4
12590;IBM;23.06.2017;154.11
12591;IBM;26.06.2017;155.23
12592;IBM;27.06.2017;154.75
12593;IBM;28.06.2017;155.32
12594;IBM;29.06.2017;154.13
12595;IBM;30.06.2017;153.83
