Symbol;Date;Close
NVDA;09.03.2012;3.705
NVDA;12.03.2012;3.6463
NVDA;13.03.2012;3.6975
NVDA;14.03.2012;3.5913
NVDA;15.03.2012;3.645
NVDA;16.03.2012;3.65
NVDA;19.03.2012;3.66
NVDA;20.03.2012;3.6
NVDA;21.03.2012;3.615
NVDA;22.03.2012;3.61
NVDA;23.03.2012;3.6363
NVDA;26.03.2012;3.68
NVDA;27.03.2012;3.705
NVDA;28.03.2012;3.79
NVDA;29.03.2012;3.8075
NVDA;30.03.2012;3.8488
NVDA;02.04.2012;3.8325
NVDA;03.04.2012;3.77
NVDA;04.04.2012;3.6625
NVDA;05.04.2012;3.6575
NVDA;09.04.2012;3.61
NVDA;10.04.2012;3.54
NVDA;11.04.2012;3.585
NVDA;12.04.2012;3.67
NVDA;13.04.2012;3.54
NVDA;16.04.2012;3.4975
NVDA;17.04.2012;3.505
NVDA;18.04.2012;3.4675
NVDA;19.04.2012;3.4138
NVDA;20.04.2012;3.3475
NVDA;23.04.2012;3.3075
NVDA;24.04.2012;3.205
NVDA;25.04.2012;3.27
NVDA;26.04.2012;3.2725
NVDA;27.04.2012;3.245
NVDA;30.04.2012;3.25
NVDA;01.05.2012;3.3075
NVDA;02.05.2012;3.2125
NVDA;03.05.2012;3.1575
NVDA;04.05.2012;3.065
NVDA;07.05.2012;3.1175
NVDA;08.05.2012;3.115
NVDA;09.05.2012;3.1275
NVDA;10.05.2012;3.105
NVDA;11.05.2012;3.3025
NVDA;14.05.2012;3.2825
NVDA;15.05.2012;3.25
NVDA;16.05.2012;3.1838
NVDA;17.05.2012;3.1625
NVDA;18.05.2012;3.02
NVDA;21.05.2012;3.0725
NVDA;22.05.2012;3.035
NVDA;23.05.2012;3.11
NVDA;24.05.2012;3.0275
NVDA;25.05.2012;3.1
NVDA;29.05.2012;3.18
NVDA;30.05.2012;3.1425
NVDA;31.05.2012;3.1075
NVDA;01.06.2012;2.995
NVDA;04.06.2012;2.9325
NVDA;05.06.2012;3.0163
NVDA;06.06.2012;3.0975
NVDA;07.06.2012;2.9725
NVDA;08.06.2012;3.03
NVDA;11.06.2012;3.065
NVDA;12.06.2012;3.1275
NVDA;13.06.2012;3.045
NVDA;14.06.2012;3.0075
NVDA;15.06.2012;3.0725
NVDA;18.06.2012;3.1
NVDA;19.06.2012;3.3088
