Code;Name;CountryISO;ISIN;CCY;Sector;Industry;GicSector;GicGroup;GicIndustry;GicSubIndustry;HQ;FullTimeEmployees;WebURL;UpdateDate;ActiveFlag
SIRI US;Sirius XM Holding Inc;US;US82968B1035;USD;Communication Services;Entertainment;Communication Services;Media & Entertainment;Media;Cable & Satellite;United States;5869;https://www.siriusxm.com;18.09.2023;1
SITC US;Site Centers Corp;US;US82981J1097;USD;Real Estate;REIT-Retail;Real Estate;Equity Real Estate Investment Trusts (REITs);Diversified REITs;Retail REITs;United States;267;https://www.sitecenters.com;17.09.2023;1
SITE US;SiteOne Landscape Supply Inc;US;US82982L1035;USD;Industrials;Industrial Distribution;Industrials;Capital Goods;Trading Companies & Distributors;Trading Companies & Distributors;United States;6570;https://www.siteone.com;19.09.2023;1
SITM US;Sitime Corporation;US;US82982T1060;USD;Technology;Semiconductors;Information Technology;Semiconductors & Semiconductor Equipment;Semiconductors & Semiconductor Equipment;Semiconductors;United States;377;https://www.sitime.com;17.09.2023;1
SIX US;Six Flags Entertainment New;US;US83001A1025;USD;Consumer Cyclical;Leisure;Consumer Discretionary;Consumer Services;Hotels, Restaurants & Leisure;Leisure Facilities;United States;1450;https://www.sixflags.com;18.09.2023;1
SIX2 XETRA;Sixt SE;DE;DE0007231326;EUR;Industrials;Rental & Leasing Services;Industrials;Capital Goods;Trading Companies & Distributors;Trading Companies & Distributors;Germany;7509;https://www.sixt.com;18.10.2023;1
SIX3 XETRA;Sixt SE;DE;DE0007231334;EUR;Industrials;Rental & Leasing Services;Industrials;Capital Goods;Trading Companies & Distributors;Trading Companies & Distributors;Germany;7509;https://www.sixt.com;19.10.2023;1
SJW US;SJW Corporation;US;US7843051043;USD;Utilities;Utilities-Regulated Water;Utilities;Utilities;Water Utilities;Water Utilities;United States;757;https://www.sjwgroup.com;18.09.2023;1
SKAN SW;SKAN Group AG;CH;CH0013396012;CHF;Healthcare;Medical Instruments & Supplies;Health Care;Health Care Equipment & Services;Health Care Equipment & Supplies;Health Care Equipment;Switzerland;1269;https://skan.com/de/home/;05.09.2023;1
SKX US;Skechers USA Inc;US;US8305661055;USD;Consumer Cyclical;Footwear & Accessories;Consumer Discretionary;Consumer Durables & Apparel;Textiles, Apparel & Luxury Goods;Footwear;United States;7800;https://www.skechers.com;18.09.2023;1
SKLZ US;Skillz Platform Inc;US;US83067L2088;USD;Communication Services;Electronic Gaming & Multimedia;Communication Services;Media & Entertainment;Entertainment;Interactive Home Entertainment;United States;240;https://www.skillz.com;17.09.2023;1
SKY US;Skyline Corporation;US;US8308301055;USD;Consumer Cyclical;Residential Construction;Consumer Discretionary;Consumer Durables & Apparel;Household Durables;Homebuilding;United States;7600;https://ir.skylinechampion.com;18.09.2023;1
SKYT US;Skywater Technology Inc;US;US83089J1088;USD;Technology;Semiconductors;Information Technology;Semiconductors & Semiconductor Equipment;Semiconductors & Semiconductor Equipment;Semiconductors;United States;706;https://www.skywatertechnology.com;17.09.2023;1
SKYW US;SkyWest Inc;US;US8308791024;USD;Industrials;Airlines;Industrials;Transportation;Passenger Airlines;Passenger Airlines;United States;13582;https://inc.skywest.com;19.09.2023;1
SWKS US;Skyworks Solutions Inc;US;US83088M1027;USD;Technology;Semiconductors;Information Technology;Semiconductors & Semiconductor Equipment;Semiconductors & Semiconductor Equipment;Semiconductors;United States;11150;https://www.skyworksinc.com;19.09.2023;1
SKYX US;SKYX Platforms Corp;US;US78471E1055;USD;Industrials;Electrical Equipment & Parts;Industrials;Capital Goods;Machinery;Industrial Machinery & Supplies & Components;United States;29;https://www.skyplug.com;17.09.2023;1
SLG US;SL Green Realty Corp;US;US78440X8873;USD;Real Estate;REIT-Office;Real Estate;Equity Real Estate Investment Trusts (REITs);Diversified REITs;Office REITs;United States;1137;https://www.slgreen.com;19.09.2023;1
SNBR US;Sleep Number Corp;US;US83125X1037;USD;Consumer Cyclical;Furnishings, Fixtures & Appliances;Consumer Discretionary;Consumer Discretionary Distribution & Retail;Specialty Retail;Homefurnishing Retail;United States;5000;https://www.sleepnumber.com;19.09.2023;1
BTBB F;SLEEPZ AG;DE;DE000A2E3772;EUR;Consumer Cyclical;Internet Retail;Consumer Discretionary;Consumer Discretionary Distribution & Retail;Internet & Direct Marketing Retail;Internet & Direct Marketing Retail;Germany;65;https://www.sleepz.com;05.09.2023;1
